event_id,event_size_s,cpu_fraction,gpu_fraction,cpu_work_s,gpu_work_s,cpu_matrix_size,gpu_matrix_size,gpu_memory_mb,h2d_mb,d2h_mb,num_cpus,num_gpus,stage,gpu_async,start_time,end_time,runtime_s,cpu_start_time,cpu_end_time,cpu_runtime_s,gpu_start_time,gpu_end_time,gpu_runtime_s,merge_start_time,merge_end_time,merge_runtime_s,start_offset_s,end_offset_s
10,2.7144843963758634,0.4437391118326196,0.5562608881673804,1.2045228951313303,1.509961501244533,561,2516,348,32,8,1.0,1.0,event,False,2016698.887871906,2016701.658657411,2.7707855051849037,2016698.887871906,2016700.113268464,1.225396558176726,2016700.136640407,2016701.647728526,1.5110881191212684,2016701.648587265,2016701.658657411,0.010070146061480045,30.99533076188527,33.766116267070174
11,2.9916741855881384,0.6965756305517028,0.3034243694482972,2.083927332231309,0.9077468533568289,739,1951,221,19,4,1.0,1.0,event,False,2016701.658736015,2016704.677214675,3.018478659912944,2016701.658736015,2016703.742724688,2.083988673053682,2016703.757865309,2016704.666164814,0.9082995050121099,2016704.666918715,2016704.677214675,0.010295959888026118,33.7661948709283,36.784673530841246
12,2.01915578590377,0.2682801660282266,0.7317198339717734,0.5416994494791177,1.4774563364246522,376,2489,373,31,7,1.0,1.0,event,False,2016704.677282356,2016706.712721946,2.0354395899921656,2016704.677282356,2016705.219050057,0.5417677010409534,2016705.222967187,2016706.701529719,1.478562531992793,2016706.702342827,2016706.712721946,0.010379118844866753,36.78474121191539,38.820180801907554
13,2.807855397952475,0.3245354228503749,0.675464577149625,0.9112485388772141,1.8966068590752607,488,2820,230,40,10,1.0,1.0,event,False,2016706.712792777,2016709.567866256,2.8550734790042043,2016706.712792777,2016707.624460851,0.9116680740844458,2016707.653858483,2016709.556157526,1.9022990430239588,2016709.557385501,2016709.567866256,0.010480755008757114,38.820251632947475,41.67532511195168
14,2.9711183619952024,0.43047741120782756,0.5695225887921724,1.278999340863736,1.6921190211314665,579,2664,287,36,9,1.0,1.0,event,False,2016709.567946884,2016712.55885675,2.9909098658245057,2016709.567946884,2016710.847499924,1.2795530399307609,2016710.854037046,2016712.547607717,1.6935706711374223,2016712.548382318,2016712.55885675,0.010474431794136763,41.67540574003942,44.66631560586393
15,3.1328514717221068,0.5640089657064203,0.43599103429357966,1.7669563182778223,1.3658951534442845,680,2393,220,29,7,1.0,1.0,event,False,2016712.558931056,2016715.732673557,3.173742501065135,2016712.558931056,2016714.329001211,1.7700701551511884,2016714.354905187,2016715.72151157,1.3666063831187785,2016715.722200192,2016715.732673557,0.01047336496412754,44.666389911901206,47.84013241296634
16,2.631398992149969,0.2135068651707329,0.7864931348292671,0.5618217498273659,2.069577242322603,383,2946,180,44,11,1.0,1.0,event,False,2016715.732739983,2016718.408473942,2.6757339590694755,2016715.732739983,2016716.294564091,0.5618241080082953,2016716.321426138,2016718.396794386,2.075368247926235,2016718.397983151,2016718.408473942,0.01049079094082117,47.84019883885048,50.51593279791996
17,2.61473158554059,0.4152431516108414,0.5847568483891585,1.085749384196287,1.528982201344303,533,2532,148,32,8,1.0,1.0,event,False,2016718.408586154,2016721.037350967,2.6287648130673915,2016718.408586154,2016719.494448707,1.085862552979961,2016719.496574566,2016721.026643913,1.5300693470053375,2016721.027280186,2016721.037350967,0.01007078099064529,50.516045009950176,53.14480982301757
18,2.374858849814007,0.32050045046526876,0.6794995495347312,0.7611433311568192,1.6137155186571877,446,2601,270,34,8,1.0,1.0,event,False,2016721.037417845,2016723.453194116,2.4157762709073722,2016721.037417845,2016721.80871087,0.7712930249981582,2016721.82681686,2016723.441842777,1.6150259170681238,2016723.442720836,2016723.453194116,0.010473279980942607,53.14487670105882,55.56065297196619
19,3.838672799973599,0.5642786969625665,0.4357213030374335,2.166081285634749,1.67259151433885,753,2648,196,35,8,1.0,1.0,event,False,2016723.45326172,2016727.312522261,3.859260540921241,2016723.45326172,2016725.619474804,2.16621308401227,2016725.628150804,2016727.301701517,1.6735507131088525,2016727.302445088,2016727.312522261,0.010077172890305519,55.56072057597339,59.41998111689463
